Order ID,Order Date,Customer ID,Product ID,Quantity,Year,Month,Day_of_Month,City,Country,Customer_has_Email,Customer_has_Phone,Customer_has_loyal_card,Coffee Type,Roast Type,Total_Sale_Value,Total_Profit_Value,Total_Sale_Weight
QEV-37451-860,2019-09-05,17670-51384-MA,R-M-1,2,2019,9,5,Paterson,United States,1,1,1,Rob,M,19.9,1.19,2.0
QEV-37451-860,2019-09-05,17670-51384-MA,E-M-0.5,5,2019,9,5,Paterson,United States,1,1,1,Exc,M,41.25,4.54,2.5
FAA-43335-268,2021-06-17,21125-22134-PX,A-L-1,1,2021,6,17,San Antonio,United States,1,1,1,Ara,L,12.95,1.17,1.0
KAC-83089-793,2021-07-15,23806-46781-OU,E-M-1,2,2021,7,15,Cill Airne,Ireland,0,1,0,Exc,M,27.5,3.02,2.0
KAC-83089-793,2021-07-15,23806-46781-OU,R-L-2.5,2,2021,7,15,Cill Airne,Ireland,0,1,0,Rob,L,54.97,3.3,5.0
CVP-18956-553,2021-08-04,86561-91660-RB,L-D-1,3,2021,8,4,Scranton,United States,0,1,0,Lib,D,38.85,5.05,3.0
IPP-31994-879,2022-01-21,65223-29612-CB,E-D-0.5,3,2022,1,21,Dayton,United States,1,1,1,Exc,D,21.87,2.41,1.5
SNZ-65340-705,2022-05-20,21134-81676-FR,L-L-0.2,1,2022,5,20,Kill,Ireland,0,1,1,Lib,L,4.76,0.62,0.2
EZT-46571-659,2019-01-02,03396-68805-ZC,R-M-0.5,3,2019,1,2,Los Angeles,United States,1,1,0,Rob,M,17.91,1.07,1.5
NWQ-70061-912,2019-09-05,61021-27840-ZN,R-M-0.5,1,2019,9,5,Los Angeles,United States,1,1,0,Rob,M,5.97,0.36,0.5
BKK-47233-845,2021-03-08,76239-90137-UQ,A-D-1,4,2021,3,8,San Jose,United States,1,1,0,Ara,D,39.8,3.58,4.0
VQR-01002-970,2020-10-28,49315-21985-BB,E-L-2.5,5,2020,10,28,San Jose,United States,1,1,1,Exc,L,170.77,18.79,12.5
SZW-48378-399,2022-07-02,34136-36674-OM,R-M-1,5,2022,7,2,Richmond,United States,1,1,0,Rob,M,49.75,2.98,5.0
ITA-87418-783,2020-05-22,39396-12890-PE,R-D-2.5,2,2020,5,22,Migrate,United States,1,0,0,Rob,D,41.17,2.47,5.0
GNZ-46006-527,2022-04-05,95875-73336-RG,L-D-0.2,3,2022,4,5,Saint Louis,United States,1,1,1,Lib,D,11.66,1.52,0.6
FYQ-78248-319,2022-06-07,25473-43727-BY,R-M-2.5,5,2022,6,7,Philadelphia,United States,1,0,0,Rob,M,114.42,6.87,12.5
VAU-44387-624,2019-03-20,99643-51048-IQ,A-M-0.2,6,2019,3,20,Portland,United States,1,1,0,Ara,M,20.25,1.82,1.2
RDW-33155-159,2019-10-19,62173-15287-CU,A-L-1,6,2019,10,19,Houston,United States,1,1,0,Ara,L,77.7,6.99,6.0
TDZ-59011-211,2019-06-13,57611-05522-ST,R-D-2.5,4,2019,6,13,Caherconlish,Ireland,1,0,1,Rob,D,82.34,4.94,10.0
IDU-25793-399,2020-12-04,76664-37050-DT,A-M-0.2,5,2020,12,4,New York City,United States,1,1,1,Ara,M,16.88,1.52,1.0
IDU-25793-399,2020-12-04,76664-37050-DT,E-D-0.2,4,2020,12,4,New York City,United States,1,1,1,Exc,D,14.58,1.6,0.8
NUO-20013-488,2020-12-04,03090-88267-BQ,A-D-0.2,6,2020,12,4,Grand Rapids,United States,1,1,0,Ara,D,17.91,1.61,1.2
UQU-65630-479,2021-01-22,37651-47492-NC,R-M-2.5,4,2021,1,22,Punta Gorda,United States,1,1,1,Rob,M,91.54,5.49,10.0
FEO-11834-332,2022-02-11,95399-57205-HI,A-D-0.2,4,2022,2,11,Vancouver,United States,1,1,1,Ara,D,11.94,1.07,0.8
TKY-71558-096,2021-09-15,24010-66714-HW,A-M-1,1,2021,9,15,Englewood,United States,1,1,0,Ara,M,11.25,1.01,1.0
OXY-65322-253,2020-10-24,07591-92789-UA,E-M-0.2,3,2020,10,24,Punta Gorda,United States,0,1,1,Exc,M,12.38,1.36,0.6
EVP-43500-491,2019-02-20,49231-44455-IC,A-M-0.5,4,2019,2,20,Petaluma,United States,1,1,1,Ara,M,27.0,2.43,2.0
WAG-26945-689,2019-10-08,50124-88608-EO,A-M-0.2,5,2019,10,8,Tralee,Ireland,1,1,0,Ara,M,16.88,1.52,1.0
CHE-78995-767,2022-08-02,00888-74814-UZ,A-D-0.5,3,2022,8,2,Clonskeagh,Ireland,1,1,0,Ara,D,17.91,1.61,1.5
RYZ-14633-602,2019-02-20,14158-30713-OB,A-D-1,4,2019,2,20,Rathwire,Ireland,1,1,1,Ara,D,39.8,3.58,4.0
WOQ-36015-429,2021-09-25,51427-89175-QJ,L-M-0.2,5,2021,9,25,Aurora,United States,0,1,0,Lib,M,21.83,2.84,1.0
WOQ-36015-429,2021-09-25,51427-89175-QJ,A-D-0.5,6,2021,9,25,Aurora,United States,0,1,0,Ara,D,35.82,3.22,3.0
WOQ-36015-429,2021-09-25,51427-89175-QJ,L-M-0.5,6,2021,9,25,Aurora,United States,0,1,0,Lib,M,52.38,6.81,3.0
SCT-60553-454,2021-07-17,39123-12846-YJ,L-L-0.2,5,2021,7,17,Grand Forks,United States,1,0,0,Lib,L,23.78,3.09,1.0
GFK-52063-244,2020-06-29,44981-99666-XB,L-L-0.5,6,2020,6,29,Upton,United Kingdom,1,1,1,Lib,L,57.06,7.42,3.0
AMM-79521-378,2021-06-01,24825-51803-CQ,A-D-0.5,6,2021,6,1,Charleston,United States,1,1,0,Ara,D,35.82,3.22,3.0
QUQ-90580-772,2021-02-06,77634-13918-GJ,L-M-0.2,2,2021,2,6,Little Rock,United States,1,1,0,Lib,M,8.73,1.13,0.4
LGD-24408-274,2019-04-25,13694-25001-LX,L-L-0.5,3,2019,4,25,Denver,United States,1,1,0,Lib,L,28.53,3.71,1.5
HCT-95608-959,2020-04-25,08523-01791-TI,R-M-2.5,5,2020,4,25,Minneapolis,United States,1,1,0,Rob,M,114.42,6.87,12.5
OFX-99147-470,2021-11-24,49860-68865-AB,R-M-1,6,2021,11,24,Tucson,United States,0,0,1,Rob,M,59.7,3.58,6.0
LUO-37559-016,2021-04-19,21240-83132-SP,L-M-1,3,2021,4,19,New Orleans,United States,0,1,0,Lib,M,43.65,5.67,3.0
XWC-20610-167,2022-07-07,08350-81623-TF,E-D-0.2,2,2022,7,7,Hartford,United States,1,1,1,Exc,D,7.29,0.8,0.4
GPU-79113-136,2019-05-22,73284-01385-SJ,R-D-0.2,3,2019,5,22,Ogden,United States,1,1,1,Rob,D,8.06,0.48,0.6
ULR-52653-960,2021-10-04,04152-34436-IE,L-L-2.5,2,2021,10,4,Boston,United States,0,1,0,Lib,L,72.91,9.48,5.0
HPI-42308-142,2020-04-11,06631-86965-XP,E-M-0.5,2,2020,4,11,Rochester,United States,1,1,1,Exc,M,16.5,1.82,1.0
XHI-30227-581,2022-01-31,54619-08558-ZU,L-D-2.5,6,2022,1,31,Bronx,United States,1,1,0,Lib,D,178.71,23.23,15.0
DJH-05202-380,2019-11-07,85589-17020-CX,E-M-2.5,2,2019,11,7,Birmingham,United States,0,1,1,Exc,M,63.25,6.96,5.0
VMW-26889-781,2019-06-28,36078-91009-WU,A-L-0.2,2,2019,6,28,San Bernardino,United States,1,1,1,Ara,L,7.77,0.7,0.4
DBU-81099-586,2020-09-11,15770-27099-GX,A-D-2.5,4,2020,9,11,Norfolk,United States,1,0,0,Ara,D,91.54,8.24,10.0
PQA-54820-810,2022-08-17,91460-04823-BX,A-L-1,3,2022,8,17,Washington,United States,1,1,0,Ara,L,38.85,3.5,3.0
XKB-41924-202,2022-08-19,45089-52817-WN,L-D-0.5,2,2022,8,19,Fort Lauderdale,United States,1,1,0,Lib,D,15.54,2.02,1.0
DWZ-69106-473,2019-05-15,76447-50326-IC,L-L-2.5,4,2019,5,15,Crumlin,Ireland,1,1,1,Lib,L,145.82,18.96,10.0
